Search Alpha Results - 20260130_125108
PATH: logs/LidarSpread/informarl_subgoal/seed0_129154248_ZFZO
EPI: 1000
GPU: 3
ALPHA1_RANGE: [20.0, 25.0, 30.0, 36.0, 40.0, 45.0, 50.0]
ALPHA2_RANGE: [12.0, 16.0, 18.0, 22.0, 26.0, 30.0, 35.0]

  alpha1   alpha2     reward  safe_rate  last_reward  last_dist
--------------------------------------------------------------
    45.0     35.0     -0.272      99.9%      -0.0005     0.0374 ***
    36.0     26.0     -0.266      99.9%      -0.0005     0.0342
    36.0     30.0     -0.277      99.9%      -0.0006     0.0392
    25.0     22.0     -0.283      99.8%      -0.0006     0.0425
    36.0     35.0     -0.293      99.8%      -0.0007     0.0467
    50.0     35.0     -0.262      99.8%      -0.0005     0.0331
    40.0     30.0     -0.268      99.8%      -0.0005     0.0348
    30.0     26.0     -0.281      99.8%      -0.0006     0.0401
    40.0     35.0     -0.282      99.8%      -0.0006     0.0425
    30.0     30.0     -0.295      99.8%      -0.0007     0.0487
    20.0     22.0     -0.306      99.8%      -0.0008     0.0556
    30.0     35.0     -0.309      99.8%      -0.0008     0.0572
    25.0     35.0     -0.327      99.8%      -0.0010     0.0712
    20.0     30.0     -0.335      99.8%      -0.0011     0.0759
    45.0     30.0     -0.258      99.8%      -0.0004     0.0317
    25.0     26.0     -0.299      99.8%      -0.0007     0.0502
    30.0     22.0     -0.267      99.7%      -0.0005     0.0333
    20.0     26.0     -0.322      99.7%      -0.0010     0.0660
    36.0     22.0     -0.252      99.7%      -0.0004     0.0280
    25.0     30.0     -0.314      99.7%      -0.0009     0.0608
    40.0     26.0     -0.257      99.7%      -0.0004     0.0311
    25.0     18.0     -0.266      99.7%      -0.0005     0.0335
    20.0     18.0     -0.287      99.7%      -0.0006     0.0423
    20.0     16.0     -0.276      99.6%      -0.0005     0.0372
    20.0     35.0     -0.351      99.6%      -0.0013     0.0905
    30.0     18.0     -0.251      99.6%      -0.0004     0.0277
    45.0     26.0     -0.248      99.5%      -0.0004     0.0279
    50.0     26.0     -0.238      99.5%      -0.0003     0.0231
    50.0     30.0     -0.250      99.5%      -0.0004     0.0278
    40.0     22.0     -0.244      99.4%      -0.0004     0.0256
    50.0     22.0     -0.229      99.3%      -0.0003     0.0210
    45.0     22.0     -0.236      99.3%      -0.0003     0.0241
    30.0     16.0     -0.243      99.3%      -0.0004     0.0256
    25.0     16.0     -0.257      99.3%      -0.0004     0.0299
    50.0     18.0     -0.222      99.2%      -0.0003     0.0195
    20.0     12.0     -0.255      99.2%      -0.0004     0.0304
    36.0     18.0     -0.238      99.2%      -0.0003     0.0241
    45.0     18.0     -0.226      99.1%      -0.0003     0.0210
    40.0     18.0     -0.231      99.1%      -0.0003     0.0215
    36.0     16.0     -0.232      99.1%      -0.0003     0.0217
    25.0     12.0     -0.236      99.0%      -0.0003     0.0212
    40.0     16.0     -0.225      99.0%      -0.0003     0.0193
    45.0     16.0     -0.222      98.9%      -0.0003     0.0198
    30.0     12.0     -0.226      98.8%      -0.0003     0.0193
    50.0     16.0     -0.218      98.7%      -0.0003     0.0193
    36.0     12.0     -0.221      98.6%      -0.0003     0.0181
    40.0     12.0     -0.218      98.2%      -0.0003     0.0183
    45.0     12.0     -0.215      97.4%      -0.0002     0.0177
    50.0     12.0     -0.212      95.8%      -0.0002     0.0151

Best: alpha1=45.0, alpha2=35.0 (reward=-0.272, safe_rate=99.9%, last_reward=-0.0005, last_dist=0.0374)
