topk,viab_gain,err_gain,alpha_max,g_act_thresh,safety_margin,n_lookahead,w_slack,safe_rate,last_dist,last_reward,success_agent,success_epi,status
3,0.5,5.0,1.0,0.01,0.02,0,1.0,,,,,,parse_error
3,0.5,5.0,1.0,0.01,0.02,0,5.0,97.0,0.0234557,-0.0003434,89.2222222,75.3333333,ok
3,0.5,5.0,1.0,0.01,0.02,0,10.0,97.0,0.0224168,-0.0003614,86.4444444,69.0,ok
3,0.5,5.0,1.0,0.01,0.02,2,1.0,98.2222222,0.0245491,-0.0003683,87.8888889,73.6666667,ok
3,0.5,5.0,1.0,0.01,0.02,2,5.0,98.0,0.0206007,-0.0003196,88.8888889,73.3333333,ok
3,0.5,5.0,1.0,0.01,0.02,2,10.0,98.2222222,0.0229055,-0.0003652,86.5555556,68.3333333,ok
3,0.5,10.0,1.0,0.01,0.02,0,1.0,99.2222222,0.0189975,-0.0002933,89.8888889,76.0,ok
3,0.5,10.0,1.0,0.01,0.02,0,5.0,99.0,0.0205572,-0.0003238,88.4444444,72.3333333,ok
3,0.5,10.0,1.0,0.01,0.02,0,10.0,99.4444444,0.024925,-0.0003775,87.3333333,69.3333333,ok
3,0.5,10.0,1.0,0.01,0.02,2,1.0,99.1111111,0.0200055,-0.0003105,89.0,74.0,ok
3,0.5,10.0,1.0,0.01,0.02,2,5.0,99.1111111,0.0252196,-0.0003746,88.0,72.0,ok
3,0.5,10.0,1.0,0.01,0.02,2,10.0,99.4444444,0.0246704,-0.0003708,88.0,70.0,ok
3,1.0,5.0,1.0,0.01,0.02,0,1.0,98.4444444,0.0228493,-0.0003534,87.6666667,71.6666667,ok
3,1.0,5.0,1.0,0.01,0.02,0,5.0,98.2222222,0.0290917,-0.0004606,83.7777778,64.0,ok
3,1.0,5.0,1.0,0.01,0.02,0,10.0,98.5555556,0.0355778,-0.0005496,81.2222222,60.0,ok
3,1.0,5.0,1.0,0.01,0.02,2,1.0,98.4444444,0.0242985,-0.0003857,86.2222222,67.3333333,ok
3,1.0,5.0,1.0,0.01,0.02,2,5.0,98.3333333,0.0311004,-0.0004956,82.1111111,61.3333333,ok
3,1.0,5.0,1.0,0.01,0.02,2,10.0,98.4444444,0.0354952,-0.0005596,80.0,57.6666667,ok
3,1.0,10.0,1.0,0.01,0.02,0,1.0,98.8888889,0.0229288,-0.000362,87.0,67.6666667,ok
3,1.0,10.0,1.0,0.01,0.02,0,5.0,99.3333333,0.0280934,-0.0004435,84.1111111,63.0,ok
3,1.0,10.0,1.0,0.01,0.02,0,10.0,99.2222222,0.0325855,-0.0005095,82.1111111,60.3333333,ok
3,1.0,10.0,1.0,0.01,0.02,2,1.0,99.3333333,0.0250743,-0.0003958,85.6666667,66.0,ok
3,1.0,10.0,1.0,0.01,0.02,2,5.0,99.1111111,0.0315762,-0.0004885,83.3333333,63.0,ok
3,1.0,10.0,1.0,0.01,0.02,2,10.0,99.1111111,0.0353515,-0.0005459,81.2222222,57.6666667,ok
5,0.5,5.0,1.0,0.01,0.02,0,1.0,97.4444444,0.0240488,-0.000362,87.8888889,72.3333333,ok
5,0.5,5.0,1.0,0.01,0.02,0,5.0,98.4444444,0.0258156,-0.0003888,87.2222222,72.0,ok
5,0.5,5.0,1.0,0.01,0.02,0,10.0,97.6666667,0.0276787,-0.0004277,85.4444444,67.6666667,ok
5,0.5,5.0,1.0,0.01,0.02,2,1.0,98.3333333,0.024422,-0.0003705,87.8888889,71.3333333,ok
5,0.5,5.0,1.0,0.01,0.02,2,5.0,98.5555556,0.0252851,-0.0003834,87.3333333,70.6666667,ok
5,0.5,5.0,1.0,0.01,0.02,2,10.0,98.4444444,0.0286804,-0.0004294,85.8888889,68.6666667,ok
5,0.5,10.0,1.0,0.01,0.02,0,1.0,98.7777778,0.0236651,-0.0003539,88.5555556,71.3333333,ok
5,0.5,10.0,1.0,0.01,0.02,0,5.0,98.8888889,0.0239423,-0.0003626,88.4444444,72.6666667,ok
5,0.5,10.0,1.0,0.01,0.02,0,10.0,99.1111111,0.0265967,-0.0004034,86.5555556,69.3333333,ok
5,0.5,10.0,1.0,0.01,0.02,2,1.0,99.0,0.0220502,-0.0003373,88.5555556,73.6666667,ok
5,0.5,10.0,1.0,0.01,0.02,2,5.0,98.7777778,0.0225662,-0.0003507,87.6666667,71.3333333,ok
5,0.5,10.0,1.0,0.01,0.02,2,10.0,98.5555556,0.0269984,-0.0004191,85.6666667,67.6666667,ok
5,1.0,5.0,1.0,0.01,0.02,0,1.0,98.8888889,0.0281508,-0.0004326,85.3333333,66.3333333,ok
5,1.0,5.0,1.0,0.01,0.02,0,5.0,98.4444444,0.0337358,-0.0005085,83.3333333,61.0,ok
5,1.0,5.0,1.0,0.01,0.02,0,10.0,98.7777778,0.0380088,-0.0005702,81.4444444,58.6666667,ok
5,1.0,5.0,1.0,0.01,0.02,2,1.0,98.6666667,0.0243116,-0.0003929,85.3333333,65.3333333,ok
5,1.0,5.0,1.0,0.01,0.02,2,5.0,98.4444444,0.0316051,-0.0005021,82.0,59.6666667,ok
5,1.0,5.0,1.0,0.01,0.02,2,10.0,99.1111111,0.0374201,-0.0005765,80.1111111,56.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,0,1.0,98.6666667,0.0259465,-0.0004071,86.0,66.0,ok
5,1.0,10.0,1.0,0.01,0.02,0,5.0,99.0,0.0300368,-0.0004596,84.3333333,63.0,ok
5,1.0,10.0,1.0,0.01,0.02,0,10.0,99.2222222,0.0339216,-0.0005327,81.0,58.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,1.0,99.0,0.0287419,-0.0004517,84.1111111,63.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,5.0,98.7777778,0.0328597,-0.0005235,81.3333333,59.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,10.0,98.6666667,0.0367919,-0.0005682,80.5555556,57.6666667,ok
8,0.5,5.0,1.0,0.01,0.02,0,1.0,96.5555556,0.0242886,-0.0003611,88.4444444,72.3333333,ok
8,0.5,5.0,1.0,0.01,0.02,0,5.0,99.1111111,0.0230479,-0.0003555,87.8888889,71.3333333,ok
8,0.5,5.0,1.0,0.01,0.02,0,10.0,98.8888889,0.0250913,-0.0004017,85.4444444,67.3333333,ok
8,0.5,5.0,1.0,0.01,0.02,2,1.0,98.6666667,0.0218152,-0.0003349,88.5555556,72.0,ok
8,0.5,5.0,1.0,0.01,0.02,2,5.0,99.0,0.0286698,-0.0004206,86.6666667,68.3333333,ok
8,0.5,5.0,1.0,0.01,0.02,2,10.0,98.7777778,0.0263445,-0.0004125,85.5555556,67.0,ok
8,0.5,10.0,1.0,0.01,0.02,0,1.0,98.6666667,0.0209999,-0.0003223,88.7777778,74.0,ok
