topk,viab_gain,err_gain,alpha_max,g_act_thresh,safety_margin,n_lookahead,w_slack,safe_rate,last_dist,last_reward,success_agent,success_epi,status
5,1.0,10.0,1.0,0.01,0.02,0,10.0,99.2222222,0.0339176,-0.0005327,81.0,58.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,1.0,99.0,0.0287392,-0.0004517,84.1111111,63.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,5.0,98.7777778,0.0328886,-0.0005238,81.3333333,59.3333333,ok
5,1.0,10.0,1.0,0.01,0.02,2,10.0,98.6666667,0.0371039,-0.0005712,80.5555556,57.6666667,ok
8,0.5,5.0,1.0,0.01,0.02,0,1.0,96.5555556,0.0242834,-0.0003611,88.4444444,72.3333333,ok
8,0.5,5.0,1.0,0.01,0.02,0,5.0,99.0,0.0233277,-0.0003582,87.8888889,71.3333333,ok
8,0.5,5.0,1.0,0.01,0.02,0,10.0,98.8888889,0.0250917,-0.0004017,85.4444444,67.3333333,ok
8,0.5,5.0,1.0,0.01,0.02,2,1.0,98.6666667,0.0218137,-0.0003349,88.5555556,72.0,ok
8,0.5,5.0,1.0,0.01,0.02,2,5.0,99.0,0.0286701,-0.0004206,86.6666667,68.3333333,ok
8,0.5,5.0,1.0,0.01,0.02,2,10.0,98.7777778,0.0263458,-0.0004125,85.5555556,67.0,ok
8,0.5,10.0,1.0,0.01,0.02,0,1.0,98.6666667,0.0214621,-0.000327,88.7777778,74.0,ok
8,0.5,10.0,1.0,0.01,0.02,0,5.0,98.8888889,0.0232379,-0.0003619,87.5555556,70.6666667,ok
8,0.5,10.0,1.0,0.01,0.02,0,10.0,99.0,0.0245434,-0.0003796,86.8888889,69.0,ok
8,0.5,10.0,1.0,0.01,0.02,2,1.0,99.1111111,0.0253982,-0.0003767,87.8888889,71.6666667,ok
8,0.5,10.0,1.0,0.01,0.02,2,5.0,99.2222222,0.0244137,-0.00038,86.5555556,69.0,ok
8,0.5,10.0,1.0,0.01,0.02,2,10.0,99.2222222,0.0321037,-0.0004753,84.6666667,64.3333333,ok
8,1.0,5.0,1.0,0.01,0.02,0,1.0,98.5555556,0.0271053,-0.0004167,85.8888889,68.3333333,ok
8,1.0,5.0,1.0,0.01,0.02,0,5.0,98.5555556,0.0323663,-0.0005105,81.6666667,58.6666667,ok
8,1.0,5.0,1.0,0.01,0.02,0,10.0,98.5555556,0.0320932,-0.0005142,81.2222222,57.3333333,ok
8,1.0,5.0,1.0,0.01,0.02,2,1.0,98.7777778,0.0284356,-0.0004502,83.5555556,64.0,ok
8,1.0,5.0,1.0,0.01,0.02,2,5.0,99.1111111,0.0343603,-0.0005479,79.8888889,55.0,ok
8,1.0,5.0,1.0,0.01,0.02,2,10.0,99.1111111,0.0388697,-0.0006064,79.0,53.3333333,ok
8,1.0,10.0,1.0,0.01,0.02,0,1.0,98.7777778,0.0283542,-0.0004409,84.5555556,64.3333333,ok
8,1.0,10.0,1.0,0.01,0.02,0,5.0,98.7777778,0.0323655,-0.0004995,82.7777778,60.0,ok
8,1.0,10.0,1.0,0.01,0.02,0,10.0,99.2222222,0.0388359,-0.0005963,79.7777778,55.0,ok
8,1.0,10.0,1.0,0.01,0.02,2,1.0,99.2222222,0.0329933,-0.0005033,83.3333333,61.3333333,ok
8,1.0,10.0,1.0,0.01,0.02,2,5.0,98.7777778,0.0338982,-0.0005375,80.4444444,55.6666667,ok
8,1.0,10.0,1.0,0.01,0.02,2,10.0,98.8888889,0.036843,-0.0005885,78.6666667,52.6666667,ok
